fat,len,wid,slat,slon
0,5.0,150,44.8398,-122.87899999999999
0,10.0,500,39.27,-84.22
0,0.5,50,38.73,-95.97
0,0.08,10,40.9093,-90.1087
0,0.1,30,34.53,-103.48
0,0.5,200,34.42,-100.22
0,0.1,50,40.32,-112.1
0,0.1,30,26.45,-82.13
0,0.21,50,42.93,-74.33
0,0.3,30,36.808,-98.031
0,33.0,150,31.67,-95.3
1,19.04,300,33.79,-80.5
0,1.8,100,36.51,-80.85
0,2.0,440,42.63,-102.2
0,2.13,50,43.6604,-88.2283
0,0.25,50,45.9384,-108.44200000000001
0,0.42,50,31.9637,-85.7804
0,7.0,150,34.98,-98.43
0,1.0,100,45.5,-93.17
0,0.5,50,37.82,-85.47
0,1.25,50,45.2,-92.77
0,0.1,50,34.5345,-95.03
0,0.1,25,32.48,-89.87
0,0.11,50,36.9715,-92.0525
0,4.23,50,30.3097,-94.9875
0,1.5,400,34.766999999999996,-98.697
0,0.67,50,33.2393,-91.82
0,0.5,30,38.07,-100.67
0,0.01,25,40.9,-102.16
0,2.24,150,32.1146,-90.3112
0,3.3,900,36.1524,-94.561
0,1.6,100,42.95,-89.05
0,1.5,150,37.08,-90.02
0,0.4,30,33.87,-79.72
0,2.35,75,38.2415,-103.694
0,0.5,10,29.95,-92.0
0,1.0,50,26.07,-80.22
0,1.34,50,38.968,-76.71600000000001
0,1.0,150,42.5,-91.77
0,1.33,100,38.9841,-103.991
0,2.07,50,39.52,-92.22
0,8.0,300,35.84,-99.69
0,16.71,200,32.0297,-88.2463
0,1.0,50,33.15,-91.95
0,1.0,100,30.88,-93.88
0,0.1,0,41.55,-103.75
0,1.0,73,34.37,-101.13
0,2.7,173,43.15,-89.4
0,0.1,23,34.97,-98.88
0,4.0,100,35.57,-97.07
0,5.0,40,40.65,-88.13
0,1.34,150,41.7925,-86.1027
0,0.28,5,40.1438,-111.1321
0,0.2,10,28.5,-82.5
0,2.0,100,30.97,-89.28
0,1.0,100,33.6,-79.85
0,3.7,150,31.32,-97.33
0,36.99,95,43.26,-85.87
0,5.96,350,32.7014,-89.3675
0,10.71,200,38.53,-86.11
0,0.77,175,30.4105,-86.6812
0,0.3,150,40.7,-73.45
0,0.1,50,38.9,-103.82
0,0.2,10,48.2,-122.25
0,12.0,50,30.75,-85.95
0,2.0,50,32.4208,-90.7325
0,0.95,100,33.5415,-86.459
0,17.0,400,41.83,-86.25
0,0.5,50,35.65,-88.4
1,2.0,60,35.53,-86.4
0,0.5,10,39.1706,-102.53399999999999
0,0.1,30,42.4,-91.12
0,0.1,10,33.28,-87.7
0,1.5,100,37.33,-94.33
0,4.97,400,37.5862,-92.3541
0,0.3,10,45.47,-97.2
0,1.25,30,35.0763,-96.3949
0,3.0,300,33.07,-83.62
0,2.5,25,33.35,-117.28
0,0.3,40,38.12,-89.7
0,0.05,25,40.91,-80.06
0,6.83,30,34.59,-82.87
0,1.0,50,36.09,-100.64
